bodyId,superclass,type,instance,somaSide,subclass_DN_target,somaNeuromere_AN_origin,dimorphism,predicted_neurotransmitter,neurons_in_cell_type,neck_area_um2,neck_diameter_um,diameter_cv_across_slabs,n_slabs,output_synapses_total,output_synapses_VNC,output_synapses_brain,postsynaptic_partners,postsynaptic_partners_ge5,input_synapses_total,input_synapses_VNC,input_synapses_brain,presynaptic_partners,presynaptic_partners_ge5,path_neck_to_brain_arbor_um,path_neck_to_vnc_arbor_um,walk_end_brain,walk_end_vnc,model_velocity_m_per_s,model_arbor_to_arbor_delay_ms
10001,descending_neuron,DNp01,DNp01(GF)_R,R,lt,,,acetylcholine,2.0,78.29286400000001,9.984266148063764,0.359648815351613,3,4491,3062,1429,2859,85,18582,2447,16135,2394,477,0.0,244.8694754399259,end,branch,2.211852258301002,0.11070788047481
10010,descending_neuron,DNp01,DNp01(GF)_L,L,lt,,,acetylcholine,2.0,83.234048,10.29450734042114,0.0190145659676511,3,4382,3141,1241,2722,87,24896,3601,21295,3407,556,16.73499330349924,30.33676300789137,branch,branch,2.245953827843831,0.02095847017326292
10026,descending_neuron,DNp18,DNp18_R,R,xn,,,acetylcholine,2.0,11.072512,3.754725041591545,0.6074918868684115,3,18016,17671,345,9640,317,12103,862,11241,1768,304,223.7716817537931,164.5287921501766,branch,branch,1.356397902674527,0.2862732780243349
10030,descending_neuron,pIP1,pIP1_L,L,xl,,male-specific,acetylcholine,2.0,8.067584,3.204990948391693,0.02277509622205834,3,44161,29047,15114,20435,692,23050,1506,21544,2869,689,54.72119859114326,146.9045928991699,branch,branch,1.253174195677492,0.1608920708595584
10033,descending_neuron,DNg56,DNg56_R,R,xn,LB,,gaba,2.0,0.847232,1.038618932027075,0.0354093740836439,3,9775,6187,3588,3968,267,4622,84,4538,576,167,181.1685627449891,181.2607462264007,branch,branch,0.7133885874425429,0.5080391183025201
10038,descending_neuron,pIP1,pIP1_R,R,xl,,male-specific,acetylcholine,2.0,6.593664,2.897466781431088,0.03457000542099187,3,43795,27738,16057,20093,690,21379,1771,19608,2984,637,179.342580954845,155.5548251037609,branch,branch,1.19153628685879,0.2810635393584911
10045,descending_neuron,DNg100,DNg100_L,L,xl,,,acetylcholine,2.0,3.095116770381766,1.985151144780429,0.1531167647116064,3,51033,36182,14851,26759,741,21592,517,21075,1870,408,166.9620929963173,114.1241695948628,branch,branch,0.9862677430304664,0.2849999552124632
10048,descending_neuron,DNp18,DNp18_L,L,xn,,,acetylcholine,2.0,9.498880000000002,3.477693150163474,0.4466965696436936,3,20349,19931,418,10404,371,12707,921,11786,1918,329,225.4840497190018,153.7931158143872,branch,branch,1.305400185222946,0.2905447462217214
10054,descending_neuron,DNpe013,DNpe013(PS168)_R,R,xn,,,acetylcholine,2.0,1.482319102805901,1.373807591917012,0.2784789853417534,3,11673,5239,6434,5979,158,7915,196,7719,837,240,151.7899173606034,196.6944625081401,branch,branch,0.820466769613088,0.4247391762533907
10056,descending_neuron,DNg100,DNg100_R,R,xl,,,acetylcholine,2.0,2.355140853737274,1.731663497449672,0.1297455425798351,3,55262,37013,18249,27118,849,21477,550,20927,2023,414,178.0524976542037,108.5024831473556,branch,branch,0.9211488010904314,0.3110843551686147
10059,descending_neuron,DNp20,DNp20_R,R,xn,,,acetylcholine,2.0,26.479104,5.806396672804488,0.02579221082558081,3,953,821,132,604,14,5315,260,5055,587,82,92.68285495005117,134.8521500885517,branch,branch,1.686752610691384,0.1348953033161979
10063,descending_neuron,DNp27,DNp27_R,R,xn,,,acetylcholine,2.0,0.2832985737905374,0.600588833660088,0.2089267308433974,3,19176,1431,17745,14219,233,8155,153,8002,3019,220,182.7564612747661,213.3655599550988,branch,branch,0.5424836665683521,0.7302008256500273
10065,descending_neuron,DNb05,DNb05_R,R,xn,,potentially sexually dimorphic,acetylcholine,2.0,4.993536,2.521501041692952,0.03741888965293229,3,22647,14604,8043,11525,403,18613,463,18150,1960,570,187.3614582564902,122.9442202462936,branch,branch,1.111546449964889,0.2791657321316492
10068,descending_neuron,DNp30,DNp30_R,R,xn,,,glutamate,2.0,0.363904,0.6806885949443436,0.2573775048656421,3,4630,320,4310,3503,56,6800,120,6680,1756,284,174.1403065868961,252.3755028510407,branch,branch,0.5775269790431684,0.7385210127232099
10069,ascending_neuron,AN07B004,AN07B004(PS299)_R,R,BA,T1,,acetylcholine,2.0,3.071079917962038,1.97742772221674,0.1259789109141197,3,77450,175,77275,34745,1409,4788,2958,1830,1659,163,175.8116904514952,165.7681162582038,branch,branch,0.9843472882505455,0.3470114773382266
