root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um
720575941351919408,ascending_neuron,AN08B018,AN08B018,right,isomorphic,3,0.3732941661954367,0.6894148926582382
720575941352057904,descending_neuron,DNpe054,auto:DNpe008,right,isomorphic,3,0.07547669941077378,0.3099998683804339
720575941352918576,descending_neuron,DNg70,DNg70,left,isomorphic,3,0.5892536520309717,0.8661761089094102
720575941352944432,ascending_neuron,AN17B007,auto:AN17B011,right,isomorphic,3,0.05013802250688536,0.2526612612779966
720575941352987696,sensory_ascending,SApp17,auto:SApp09,left,isomorphic,3,0.3741936632175009,0.6902450067894976
720575941353080624,descending_neuron,DNge036,DNge036,right,isomorphic,3,0.5931664407245955,0.8690471615167734
720575941353112112,ascending_neuron,AN07B046,auto:AN07B046_b,left,isomorphic,3,0.040103071761073424,0.2259664064226156
720575941353247536,ascending_neuron,AN10B046,auto:AN10B037,right,dimorphic,3,0.02151203690476271,0.1654991724297922
720575941353771056,descending_neuron,DNge100,DNge100,left,isomorphic,3,0.06224093045162539,0.28150952728481576
720575941353897264,ascending_neuron,AN05B097,AN05B097,right,isomorphic,3,0.17621852208114114,0.4736754066114214
720575941354281776,descending_neuron,DNc01,,right,isomorphic,12,0.09981441659804269,0.3426104004390721
720575941390285462,descending_neuron,DNg05_b,DNg05_b,right,isomorphic,3,0.09665765993015119,0.3508109960144235
720575941390308246,descending_neuron,DNge118,auto:DNge108,left,isomorphic,3,0.09272418191964275,0.34359874151880465
720575941390604438,ascending_neuron,AN07B072,auto:AN06A060,right,isomorphic,3,0.093379756944444,0.3448112515847243
720575941390619140,descending_neuron,DNg10,DNg10,right,isomorphic,3,0.03938830396825466,0.223943622843855
720575941390623382,descending_neuron,DNp20,DNp20,right,isomorphic,3,9.486416058415172,3.4754107762083133
720575941390722710,descending_neuron,DNge025,auto:DNge024,right,isomorphic,3,0.05858517559523804,0.2731171219515731
720575941391682052,ascending_neuron,AN10B047,AN10B047,left,dimorphic,3,0.052447429277318,0.25841466865404916
720575941391756548,descending_neuron,DNfl028,auto:DNge019,,isomorphic,3,0.12748207643578796,0.4028836320365918
720575941392278678,ascending_neuron,AN07B089,AN07B089,left,dimorphic,3,0.018806228093436385,0.15474118164170964
720575941392665750,sensory_ascending,SAxx02,auto:LgAG1,left,isomorphic,3,0.09664658130341583,0.35079089095780563
720575941392742148,ascending_neuron,AN08B079_b,AN08B079_b,left,dimorphic,3,0.033674398015873706,0.20706418135197044
720575941392812548,descending_neuron,DNp26,DNp26,right,isomorphic,3,2.037192976132112,1.6105386234015382
720575941393196950,descending_neuron,DNpe008,DNpe008,right,isomorphic,3,0.05748641219323012,0.27054384725838104
720575941393242628,descending_neuron,DNp30,DNp30,right,isomorphic,12,0.2110894803414138,0.5179908940731107
720575941393488790,ascending_neuron,AN07B046,auto:AN07B046_b,left,isomorphic,3,0.04974419588988221,0.2516669968987797
720575941393722006,ascending_neuron,AN08B081,AN08B081,right,dimorphic,3,0.1138951578351952,0.3808094259726556
720575941393745046,ascending_neuron,AN04A001,AN04A001,right,dimorphic,3,0.19248783730187108,0.4950587099862908
720575941393748630,ascending_neuron,AN01A006,AN01A006,right,isomorphic,3,0.10551686070526548,0.3665354548829564
720575941393864342,ascending_neuron,ANXXX041,ANXXX041,right,isomorphic,3,0.6307572744833577,0.89616131639431
720575941394119830,descending_neuron,DNp42,DNp42,right,isomorphic,3,0.4734950763805228,0.7764487462061344
720575941394131094,descending_neuron,DNg26,DNg26,left,isomorphic,3,0.26409956868584716,0.5798810348669121
720575941394278916,descending_neuron,DNbe004,DNbe004,left,isomorphic,3,0.5317588102719281,0.8228343366070362
720575941394289668,descending_neuron,DNpe055,DNpe055,left,isomorphic,3,0.4484514584613757,0.7556362423859656
720575941394658198,descending_neuron,DNge043,DNge043,right,isomorphic,3,0.5256496306172037,0.8180940632820012
720575941399010595,sensory_ascending,SApp19,auto:SApp10,right,isomorphic,3,0.2064250482411464,0.5126680548312829
720575941399042851,descending_neuron,DNge077,DNge077,left,isomorphic,3,0.088016212136245,0.3347621870368069
720575941399099427,descending_neuron,DNfl033,auto:DNge056,right,isomorphic,3,0.3753919257168866,0.6913492927580275
720575941399380515,descending_neuron,DNg12_e,DNg12_e,right,isomorphic,3,0.1429312957680133,0.4265979113311177
720575941399595555,ascending_neuron,AN06A062,AN06A062,left,isomorphic,3,0.061925684467664846,0.28079570918912367
720575941400285475,descending_neuron,DNge125,DNge125,right,isomorphic,3,0.4890143211131795,0.7890705745262077
720575941400290851,descending_neuron,DNg49,DNg49,right,isomorphic,3,0.5584000561491265,0.843194540584439
720575941400319779,ascending_neuron,AN08B022,AN08B022,right,dimorphic,3,0.09811640964904418,0.3534482886542213
720575941400480803,sensory_ascending,LgAG1,auto:LgAG1,left,dimorphic,3,0.02085189521728347,0.16294004287872066
720575941400910115,sensory_ascending,SAch01,auto:LgAG1,right,isomorphic,3,0.04222485719696901,0.23186711270461813
720575941401375011,ascending_neuron,AN10B051,auto:AN10B045,left,isomorphic,3,0.04193199973821722,0.23106163735359156
720575941401753635,descending_neuron,DNg06,DNg06,left,isomorphic,3,0.18058370562687012,0.4795063243993188
720575941401766435,descending_neuron,DNbe007,DNbe007,left,isomorphic,3,0.22690171759087507,0.5374944089058343
720575941401783587,ascending_neuron,ANXXX196,ANXXX196,left,isomorphic,3,0.07587192078546509,0.3108104404280331
720575941401786403,descending_neuron,DNpe004,DNpe004,right,isomorphic,3,0.1437452671756011,0.4278108910914923
720575941401813027,ascending_neuron,AN17B002,AN17B002,right,isomorphic,3,0.5393559487089291,0.8286913313075978
720575941401814307,descending_neuron,DNge050,DNge050,left,isomorphic,3,1.2167735590530337,1.2446863911742863
720575941401962787,descending_neuron,DNg104,DNg104,left,isomorphic,3,0.15358025204476508,0.4422040820636872
720575941402226211,sensory_ascending,SAxx02,auto:LgAG1,right,dimorphic,3,0.09393260709776202,0.34583046409612533
720575941402279971,ascending_neuron,AN08B089,AN08B089,right,dimorphic,3,0.08822069581650048,0.3351508295941103
720575941402551331,descending_neuron,DNb03,DNb03,left,isomorphic,3,0.17573840601907276,0.4730296904764091
720575941402821923,descending_neuron,DNp05,DNp05,left,isomorphic,3,0.8678661066592531,1.0511904901272202
720575941403220771,ascending_neuron,ANXXX046,auto:AN05B102d,right,dimorphic,3,0.34112342484126984,0.6590385680242075
720575941403931248,ascending_neuron,ANXXX092,ANXXX092,left,isomorphic,3,0.09829763290644547,0.3537745516149329
