group,n,median_d,sum_d,area,bits_s_beta1,capacity_bound
DN total,1307,0.6,1003.0,1077.2,20060,81342
DN lower tectulum (xn? no: lt),31,0.67,49.6,202.1,991,3199
DN leg (xl),275,0.86,277.9,286.7,5558,21875
DN front leg (fl),115,0.46,60.2,29.2,1205,5364
DN upper tectulum (ut),276,0.48,174.8,137.8,3496,14756
DN multiple (xn),441,0.69,367.8,389.2,7355,29519
DN neck tectulum (nt),108,0.35,48.0,21.5,959,4358
DN interm tect (it),17,0.4,6.2,2.0,125,589
DN haltere tect (ht),26,0.28,7.3,1.6,146,725
DN abdomen (ad),10,0.61,5.2,2.9,105,457
SD,12,0.72,12.8,19.1,256,961
AN total,1844,0.49,1033.2,593.1,20663,90138
AN T1,721,0.47,409.3,247.7,8186,35512
AN T2,390,0.5,223.6,128.4,4473,19466
AN T3,393,0.38,189.1,94.5,3783,16925
AN abdomen,340,0.58,211.1,122.4,4222,18235
SA total,535,0.43,256.6,115.4,5133,23141
SA campaniform,251,0.54,145.1,74.3,2903,12756
SA haltere,149,0.43,67.0,28.2,1340,6106
SA other,135,0.3,44.5,12.9,890,4280
