type,n,d_med,area,sumd,pop
AN00A006,4,0.12660317855944198,0.05490611012957852,0.5235270273144025,3-4
AN01A006,2,0.5722852132983896,0.5591535409573646,1.144570426596779,1-2
AN01A014,1,0.4628500778713528,0.1682560013717433,0.4628500778713528,1-2
AN01A021,2,0.33904137816196067,0.18206689449250302,0.6780827563239213,1-2
AN01A033,2,0.1950241765309998,0.05974906890315397,0.3900483530619996,1-2
AN01A049,2,0.5760547674652745,0.5254962012975923,1.152109534930549,1-2
AN01A055,2,0.1937935387797817,0.06276428649784253,0.3875870775595634,1-2
AN01A086,2,0.15660627677978156,0.03874906333574637,0.3132125535595631,1-2
AN01A089,2,0.4545207650148124,0.4859660659318643,0.9090415300296248,1-2
AN01B002,6,0.43552101045051517,0.9077452983529537,2.625587835605855,5-8
AN01B004,6,0.5038156469961557,1.2409306066398451,2.98281704257899,5-8
AN01B005,6,0.481437698536043,1.113475859037762,2.875704929258213,5-8
AN01B011,6,0.3748121011139446,1.1414803549200443,2.8188971930463356,5-8
AN01B014,2,0.40083479738036665,0.25356538310122334,0.8016695947607333,1-2
AN01B018,2,0.6407596007048983,0.6528379999483978,1.2815192014097967,1-2
AN02A001,2,1.106869330927915,1.9315373662637123,2.21373866185583,1-2
AN02A002,2,1.6928354628108488,4.506317615297618,3.3856709256216977,1-2
AN02A005,2,1.0052814531085894,1.5992582640727488,2.010562906217179,1-2
AN02A009,2,0.7285425942267278,0.8342676281691929,1.4570851884534557,1-2
AN02A016,1,0.48965505456848524,0.18836348867095565,0.48965505456848524,1-2
AN02A017,2,1.1111641889280974,1.9438125391965784,2.222328377856195,1-2
AN02A022,2,0.4404575903775379,0.30659404554919134,0.8809151807550758,1-2
AN02A025,2,0.7300428789372775,0.8399307812768892,1.460085757874555,1-2
AN02A046,2,0.41811973482337117,0.27756392516874306,0.8362394696467423,1-2
AN03A002,2,1.0370061846335645,1.7174295055131423,2.074012369267129,1-2
AN03A008,2,1.0783676025020537,1.829882239649383,2.1567352050041073,1-2
AN03B009,2,0.6321581017404752,0.6409047644104351,1.2643162034809503,1-2
AN03B011,4,0.7068562537419351,1.4850444284675268,2.68113861676235,3-4
AN03B039,2,0.7186720615211128,0.8149131469952522,1.4373441230422257,1-2
AN03B050,2,0.3895769880382908,0.2574216422245332,0.7791539760765815,1-2
AN03B094,2,0.5699837381178096,0.513145710503308,1.1399674762356191,1-2
AN03B095,2,0.39339371449009286,0.24368201077002682,0.7867874289801857,1-2
AN04A001,6,0.5196212207635362,1.3652561462428903,3.2145685892371776,5-8
AN04B001,4,0.9434106974912568,2.997278132872395,3.8738745438438484,3-4
AN04B003,6,0.9469979601536598,4.195225630944571,5.596084607463838,5-8
AN04B004,4,0.3624805133578083,0.35145909986638724,1.3066494954154808,3-4
AN04B023,6,0.4897509851182539,1.3024222296046386,3.093574841924212,5-8
AN04B051,2,0.47563054749579736,0.3600117754962972,0.9512610949915947,1-2
AN05B004,2,0.9596921679788168,1.4738096142274881,1.9193843359576337,1-2
AN05B005,2,0.5847767619371966,0.5374450135667228,1.1695535238743933,1-2
AN05B006,3,0.7942780899554033,1.448072358964183,2.3258190818200983,3-4
AN05B007,1,0.962754716035548,0.7279829212667799,0.962754716035548,1-2
AN05B009,4,0.5133060990954855,0.8384278619668034,2.0661372905673376,3-4
AN05B010,1,0.7140426126973948,0.4004406357436639,0.7140426126973948,1-2
AN05B015,2,0.3426244820848793,0.1848702018211692,0.6852489641697586,1-2
AN05B017,1,0.757239425500686,0.45035637630299963,0.757239425500686,1-2
AN05B021,2,0.4168067297439621,0.2804524039686018,0.8336134594879242,1-2
AN05B023a,2,0.3526056620700211,0.19689092876908731,0.7052113241400422,1-2
AN05B023b,2,0.23979829679778508,0.09435085648983807,0.47959659359557016,1-2
AN05B023c,2,0.7168634215306586,0.807221855955357,1.4337268430613173,1-2
AN05B023d,2,0.8303139623509713,1.083216321757373,1.6606279247019426,1-2
AN05B024,1,0.4645677977985417,0.16950717533382811,0.4645677977985417,1-2
AN05B025,2,0.6679337644058403,0.7029860646265902,1.3358675288116806,1-2
AN05B026,1,0.7282582183021523,0.41654379548425163,0.7282582183021523,1-2
AN05B027,1,0.5384532692915267,0.22771200000000003,0.5384532692915267,1-2
AN05B029,1,0.7605454202044848,0.45429733830198554,0.7605454202044848,1-2
AN05B035,2,0.47415388192967556,0.3589866216820843,0.9483077638593511,1-2
