type,n,d_med,area,sumd,pop
CB0429,2,0.6479528453637513,0.748623475407935,1.2959056907275026,1-2
DNa01,2,1.5247498701769795,3.660364075646067,3.049499740353959,1-2
DNa02,2,2.572856710171857,10.399104000000001,5.145713420343714,1-2
DNa03,2,0.4972987983938937,0.3979273089928691,0.9945975967877874,1-2
DNa04,2,1.939458363492578,5.9094258281910665,3.878916726985156,1-2
DNa05,2,1.3320957755939966,2.8059693748432157,2.6641915511879932,1-2
DNa06,2,0.9923647148297431,1.5538237080030328,1.9847294296594862,1-2
DNa07,2,0.6206864804358678,0.6372597521745326,1.2413729608717357,1-2
DNa08,2,0.8873733039076559,1.4282971666099233,1.7747466078153118,1-2
DNa09,2,1.1670016584123735,2.1495641498711846,2.334003316824747,1-2
DNa10,2,2.2013426130582143,7.612998795541625,4.402685226116429,1-2
DNa11,2,0.6436204809912938,0.6549160001859271,1.2872409619825875,1-2
DNa13,4,1.4560937509760015,6.691043252820159,5.825310233333817,3-4
DNa14,2,0.7008109417016442,0.7777791926861202,1.4016218834032883,1-2
DNa15,2,2.4961313575220934,9.796224,4.992262715044187,1-2
DNa16,2,1.7812543011115176,4.987332880704473,3.5625086022230352,1-2
DNae001,2,0.9345658405253021,1.3861248931390948,1.8691316810506042,1-2
DNae002,2,2.4572219544510356,9.486610425364784,4.914443908902071,1-2
DNae003,2,1.334779996388768,2.7995479136068684,2.669559992777536,1-2
DNae004,2,1.6825365392204719,4.44728169915515,3.3650730784409437,1-2
DNae005,2,0.8424632849987428,1.2017615618209163,1.6849265699974856,1-2
DNae006,2,0.6995199934085246,0.7687899909033797,1.399039986817049,1-2
DNae007,2,0.468931797954214,0.3481178840269441,0.937863595908428,1-2
DNae008,2,0.5338989718797418,0.44793011958001516,1.0677979437594836,1-2
DNae009,2,1.2818401885609623,2.595748760957924,2.5636803771219245,1-2
DNae010,2,1.3648084015421982,3.0271572797768593,2.7296168030843964,1-2
DNb01,2,1.4853396847453388,3.466949533520001,2.9706793694906777,1-2
DNb02,4,0.6026217126013529,1.2380400362849278,2.499923511534605,3-4
DNb03,4,0.6063370913582192,1.2201566958800452,2.4652599539602895,3-4
DNb04,2,0.594764666824716,0.5595545823282324,1.189529333649432,1-2
DNb05,2,2.724619737467643,11.725696,5.449239474935286,1-2
DNb06,2,1.835053235825153,5.290073665049738,3.670106471650306,1-2
DNb07,2,0.5326987836205417,0.4458900055132493,1.0653975672410834,1-2
DNb08,4,1.1569317075388592,3.829729276380997,4.372178941978112,3-4
DNb09,2,1.1954353185234843,2.2447878078055736,2.3908706370469686,1-2
DNbe001,2,2.415026020786223,9.17632,4.830052041572446,1-2
DNbe002,4,0.8327564303721524,2.184377074064254,3.3277270883465513,3-4
DNbe003,2,0.8486180476516207,1.1312802636260821,1.6972360953032415,1-2
DNbe004,2,1.515484997897253,3.7831036303145447,3.030969995794506,1-2
DNbe005,2,1.0876862330850408,1.8807898731503443,2.1753724661700815,1-2
DNbe006,2,0.6144515502317938,0.5995133136461133,1.2289031004635875,1-2
DNbe007,2,0.5676288476584548,0.5062306808726275,1.1352576953169096,1-2
DNc02,2,0.8246383790854863,1.0751473845750947,1.6492767581709726,1-2
DNd02,2,0.5881761121487618,0.8639161162284864,1.1763522242975235,1-2
DNd03,2,0.8745478308309207,1.2433826890366526,1.7490956616618414,1-2
DNd04,2,0.7928730058004119,0.9923437653376062,1.5857460116008237,1-2
DNd05,2,0.9294663405817889,1.382155700130411,1.8589326811635778,1-2
DNde001,2,0.6797482669852184,0.7299609921099102,1.3594965339704368,1-2
DNde002,2,1.5382665142593517,3.7366316972835416,3.0765330285187034,1-2
DNde003,4,0.305928793586208,0.29602116399770917,1.225691293511618,3-4
DNde005,2,0.8294569719944886,1.0807215957699472,1.6589139439889773,1-2
DNde006,2,0.8590464942810043,1.1666362337140568,1.7180929885620086,1-2
DNde007,2,0.6422972035977474,0.6506622300602745,1.284594407195495,1-2
DNg01_a,2,0.47465925265494047,0.3553547148720603,0.9493185053098809,1-2
